Problem Name	Problem Link	Topic	Solution Link	Difficulty
Rotate Image	https://leetcode.com/problems/rotate-image/	2D Arrays		Medium
Word Search	https://leetcode.com/problems/word-search/	2D Arrays		Medium
Find the Number of Islands | Set 1 (Using DFS)	https://www.geeksforgeeks.org/find-number-of-islands/	2D Arrays		Medium
Given a Matrix of ‘O’ and ‘X’, Replace ‘O’ with ‘X’ if Surrounded by ‘X’	https://www.geeksforgeeks.org/given-matrix-o-x-replace-o-x-surrounded-x/	2D Arrays		Medium
Find a Common Element in all Rows of a Given Row-Wise Sorted Matrix	https://www.geeksforgeeks.org/find-common-element-rows-row-wise-sorted-matrix/	2D Arrays		Medium
Create a Matrix with Alternating Rectangles of O and X	https://www.geeksforgeeks.org/create-a-matrix-with-alternating-rectangles-of-0-and-x/	2D Arrays		Medium
Maximum Size Rectangle of all 1s	https://www.geeksforgeeks.org/maximum-size-rectangle-binary-sub-matrix-1s/	2D Arrays		Hard
Permute Two Arrays such that Sum of Every Pair is Greater or Equal to K	https://www.geeksforgeeks.org/permute-two-arrays-sum-every-pair-greater-equal-k/	Searching & Sorting		Easy
counting sort	https://www.geeksforgeeks.org/counting-sort/	Searching & Sorting		Easy
find common elements three sorted arrays	https://www.geeksforgeeks.org/find-common-elements-three-sorted-arrays/	Searching & Sorting		Easy
Searching in an array where adjacent differ by at most k	https://www.geeksforgeeks.org/searching-array-adjacent-differ-k/	Searching & Sorting		Easy
ceiling in a sorted array	https://www.geeksforgeeks.org/ceiling-in-a-sorted-array/	Searching & Sorting		Easy
Piar with given difference	https://www.geeksforgeeks.org/find-a-pair-with-the-given-difference/	Searching & Sorting		Easy
majority element	https://www.geeksforgeeks.org/majority-element/	Searching & Sorting		Medium
count triplets with sum smaller that a given value	https://www.geeksforgeeks.org/count-triplets-with-sum-smaller-that-a-given-value/	Searching & Sorting		Medium
Maximum Sum Subsequence with no adjacent elements	https://www.geeksforgeeks.org/maximum-sum-such-that-no-two-elements-are-adjacent/	Searching & Sorting		Medium
Merge Sorted Arrays using O(1) Space	https://www.geeksforgeeks.org/merge-two-sorted-arrays-o1-extra-space/	Searching & Sorting		Medium
Inversion of Array	https://practice.geeksforgeeks.org/problems/inversion-of-array-1587115620/1	Searching & Sorting		Medium
Find Duplicates in O(n) Time and O(1) Extra Space	https://www.geeksforgeeks.org/find-duplicates-in-on-time-and-constant-extra-space/	Searching & Sorting		Medium
Radix Sort	https://www.geeksforgeeks.org/radix-sort/	Searching & Sorting		Medium
Product of Array except itself	https://www.geeksforgeeks.org/a-product-array-puzzle/	Searching & Sorting		Medium
Make all Array Elements Equal	https://www.geeksforgeeks.org/make-array-elements-equal-minimum-cost/	Searching & Sorting		Medium
Check if Reversing a Sub Array Make the Array Sorted	https://www.geeksforgeeks.org/check-reversing-sub-array-make-array-sorted/	Searching & Sorting		Medium
Find Four Elements that Sum to a Given Value	https://www.geeksforgeeks.org/find-four-elements-that-sum-to-a-given-value-set-2/	Searching & Sorting		Hard
Median of Two Sorted Array with Different Size	https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/	Searching & Sorting		Hard
Median of Stream of Integers Running Integers	https://www.geeksforgeeks.org/median-of-stream-of-integers-running-integers/	Searching & Sorting		Hard
Print Subarrays with 0 Sum	https://www.geeksforgeeks.org/print-all-subarrays-with-0-sum/	Searching & Sorting		Hard
Aggressive Cows	https://www.spoj.com/problems/AGGRCOW/	Searching & Sorting		Hard
Allocate Minimum number of Pages	https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1	Searching & Sorting		Hard
Minimum Swaps to Sort	https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/	Searching & Sorting		Hard
Backtracking Set 2 Rat in a Maze	https://www.geeksforgeeks.org/backttracking-set-2-rat-in-a-maze/	Backtracking		Medium
Combinational Sum	https://www.geeksforgeeks.org/combinational-sum/	Backtracking		Medium
Crossword-Puzzle	https://www.hackerrank.com/challenges/crossword-puzzle/problem	Backtracking		Medium
Longest Possible Route in a Matrix with Hurdles	https://www.geeksforgeeks.org/longest-possible-route-in-a-matrix-with-hurdles/	Backtracking		Medium
Printing all solutions in N-Queen Problem	https://www.geeksforgeeks.org/printing-solutions-n-queen-problem/	Backtracking		Medium
Solve the Sudoku	https://practice.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1	Backtracking		Medium
Partition Equal Subset Sum	https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1	Backtracking		Medium
M Coloring Problem	https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1	Backtracking		Medium
Knight Tour	https://www.geeksforgeeks.org/backtracking-set-1-the-knights-tour-problem/	Backtracking		Hard
Soduko	https://www.geeksforgeeks.org/backtracking-set-7-suduku/	Backtracking		Hard
Remove Invalid Parentheses	https://www.geeksforgeeks.org/remove-invalid-parentheses/	Backtracking		Hard
Word Break Problem using Backtracking	https://www.geeksforgeeks.org/word-break-problem-using-backtracking/	Backtracking		Hard
Print all Palindromic Partitions of a String	https://www.geeksforgeeks.org/print-palindromic-partitions-string/	Backtracking		Hard
Find Shortest Safe Route in a Path with Landmines	https://www.geeksforgeeks.org/find-shortest-safe-route-in-a-path-with-landmines/	Backtracking		Hard
Partition of Set into K Subsets with Equal Sum	https://www.geeksforgeeks.org/partition-set-k-subsets-equal-sum/	Backtracking		Hard
Backtracking set-7 hamiltonian cycle	https://www.geeksforgeeks.org/backtracking-set-7-hamiltonian-cycle/	Backtracking		Hard
tug-of-war	https://www.geeksforgeeks.org/tug-of-war/	Backtracking		Hard
Maximum Possible Number by doing at most K swaps	https://www.geeksforgeeks.org/find-maximum-number-possible-by-doing-at-most-k-swaps/	Backtracking		Hard
Backtracking set-8 solving cryptarithmetic puzzles	https://www.geeksforgeeks.org/backtracking-set-8-solving-cryptarithmetic-puzzles/	Backtracking		Hard
Find paths from corner cell to middle cell in maze	https://www.geeksforgeeks.org/find-paths-from-corner-cell-to-middle-cell-in-maze/	Backtracking		Hard
Arithmetic Expressions	https://www.hackerrank.com/challenges/arithmetic-expressions/problem	Backtracking		Hard
Reverse Linked List	https://leetcode.com/problems/reverse-linked-list/	Linked List		Easy
Linked List Cycle	https://leetcode.com/problems/linked-list-cycle/	Linked List		Easy
Merge Two Sorted Lists	https://leetcode.com/problems/merge-two-sorted-lists/	Linked List		Easy
Delete without Head node	https://www.geeksforgeeks.org/given-only-a-pointer-to-a-node-to-be-deleted-in-a-singly-linked-list-how-do-you-delete-it/	Linked List		Easy
Remove duplicates from an unsorted linked list	https://www.geeksforgeeks.org/remove-duplicates-from-an-unsorted-linked-list/	Linked List		Easy
Sort a linked list of 0s-1s-or-2s	https://www.geeksforgeeks.org/sort-a-linked-list-of-0s-1s-or-2s/	Linked List		Easy
Multiply two numbers represented linked lists	https://www.geeksforgeeks.org/multiply-two-numbers-represented-linked-lists/	Linked List		Easy
Remove nth node from end of list	https://leetcode.com/problems/remove-nth-node-from-end-of-list/	Linked List		Medium
Reorder List	https://leetcode.com/problems/reorder-list/	Linked List		Medium
Detect and remove loop in a linked list	https://www.geeksforgeeks.org/detect-and-remove-loop-in-a-linked-list/	Linked List		Medium
Write a Function to get the Intersection Point of two Linked Lists	https://www.geeksforgeeks.org/write-a-function-to-get-the-intersection-point-of-two-linked-lists/	Linked List		Medium
Flatten a linked list with next and child pointers	https://www.geeksforgeeks.org/flatten-a-linked-list-with-next-and-child-pointers/	Linked List		Medium
Linked list in zig-zag fashion	https://www.geeksforgeeks.org/linked-list-in-zig-zag-fashion/	Linked List		Medium
Reverse a doubly linked list	https://practice.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1	Linked List		Medium
Delete nodes which have a greater value on right side	https://www.geeksforgeeks.org/delete-nodes-which-have-a-greater-value-on-right-side/	Linked List		Medium
Segregate even and odd Elements in a Linked List	https://www.geeksforgeeks.org/segregate-even-and-odd-elements-in-a-linked-list/	Linked List		Medium
Point to next higher value node in a linked list with an Arbitrary Pointer	https://www.geeksforgeeks.org/point-to-next-higher-value-node-in-a-linked-list-with-an-arbitrary-pointer/	Linked List		Medium
Rearrange a given linked list in place	https://www.geeksforgeeks.org/rearrange-a-given-linked-list-in-place/	Linked List		Medium
Sort Biotonic Doubly Linked Lists	https://www.geeksforgeeks.org/sort-biotonic-doubly-linked-list/	Linked List		Medium
Merge K Sorted Lists	https://leetcode.com/problems/merge-k-sorted-lists/	Linked List		Hard
Merge sort for linked list	https://www.geeksforgeeks.org/merge-sort-for-linked-list/	Linked List		Hard
Quicksort on singly-linked list	https://www.geeksforgeeks.org/quicksort-on-singly-linked-list/	Linked List		Hard
Sum of two linked lists	https://www.geeksforgeeks.org/sum-of-two-linked-lists/	Linked List		Hard
Flattening a linked list	https://www.geeksforgeeks.org/flattening-a-linked-list/	Linked List		Hard
Clone a linked list with next and random Pointer	https://www.geeksforgeeks.org/a-linked-list-with-next-and-arbit-pointer/	Linked List		Hard
Subtract two numbers represented as linked lists	https://www.geeksforgeeks.org/subtract-two-numbers-represented-as-linked-lists/	Linked List		Hard
Implement two stacks in an Array	https://www.geeksforgeeks.org/implement-two-stacks-in-an-array/	Stacks & Queues		Easy
Evaluation of Postfix Expression	https://www.geeksforgeeks.org/stack-set-4-evaluation-postfix-expression/	Stacks & Queues		Easy
Implement Stack using Queues	https://leetcode.com/problems/implement-stack-using-queues/	Stacks & Queues		Easy
Queue Reversal	https://practice.geeksforgeeks.org/problems/queue-reversal/1	Stacks & Queues		Easy
Implement Stack Queue using Deque	https://www.geeksforgeeks.org/implement-stack-queue-using-deque/	Stacks & Queues		Easy
Reverse first k elements of queue	https://practice.geeksforgeeks.org/problems/reverse-first-k-elements-of-queue/1	Stacks & Queues		Easy
Design Stack with Middle Operation	https://www.geeksforgeeks.org/design-a-stack-with-find-middle-operation/	Stacks & Queues		Medium
Infix to Postfix	https://www.geeksforgeeks.org/stack-set-2-infix-to-postfix/	Stacks & Queues		Medium
Design and Implement Special stack	https://www.geeksforgeeks.org/design-and-implement-special-stack-data-structure/	Stacks & Queues		Medium
Longest Valid String	https://www.geeksforgeeks.org/length-of-the-longest-valid-substring/	Stacks & Queues		Medium
Find if an expression has duplicate parenthesis or not	https://www.geeksforgeeks.org/find-expression-duplicate-parenthesis-not/	Stacks & Queues		Medium
Stack permutations check if an array is stack permutation of other	https://www.geeksforgeeks.org/stack-permutations-check-if-an-array-is-stack-permutation-of-other/	Stacks & Queues		Medium
Count natural numbers whose permutation greater number	https://www.geeksforgeeks.org/count-natural-numbers-whose-permutation-greater-number/	Stacks & Queues		Medium
Sort a stack using Recursion	https://www.geeksforgeeks.org/sort-a-stack-using-recursion/	Stacks & Queues		Medium
Queue based approach for first non repeating character in a stream	https://www.geeksforgeeks.org/queue-based-approach-for-first-non-repeating-character-in-a-stream/	Stacks & Queues		Medium
The Celebrity Problem	https://practice.geeksforgeeks.org/problems/the-celebrity-problem/1	Stacks & Queues		Medium
Next larger Element	https://practice.geeksforgeeks.org/problems/next-larger-element-1587115620/1	Stacks & Queues		Medium
Distance of nearest cell	https://practice.geeksforgeeks.org/problems/distance-of-nearest-cell-having-1-1587115620/1	Stacks & Queues		Medium
Rotten-oranges	https://practice.geeksforgeeks.org/problems/rotten-oranges2536/1	Stacks & Queues		Medium
Next smaller element	https://www.geeksforgeeks.org/next-smaller-element/	Stacks & Queues		Medium
Circular-tour	https://practice.geeksforgeeks.org/problems/circular-tour/1	Stacks & Queues		Medium
Efficiently implement k-stacks single array	https://www.geeksforgeeks.org/efficiently-implement-k-stacks-single-array/	Stacks & Queues		Hard
The celebrity problem	http://geeksforgeeks.org/the-celebrity-problem/	Stacks & Queues		Hard
Iterative tower of hanoi	https://www.geeksforgeeks.org/iterative-tower-of-hanoi/	Stacks & Queues		Hard
Find the maximum of minimums for every window size in a given array	https://www.geeksforgeeks.org/find-the-maximum-of-minimums-for-every-window-size-in-a-given-array/	Stacks & Queues		Hard
lru cache implementation	https://www.geeksforgeeks.org/lru-cache-implementation/	Stacks & Queues		Hard
Find a tour that visits all stations	https://www.geeksforgeeks.org/find-a-tour-that-visits-all-stations/	Stacks & Queues		Hard
Activity selection problem greedy algo	https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1/	Greedy		Easy
Greedy algorithm to find minimum number of coins	https://www.geeksforgeeks.org/greedy-algorithm-to-find-minimum-number-of-coins/	Greedy		Easy
Minimum sum two numbers formed digits array-2	https://www.geeksforgeeks.org/minimum-sum-two-numbers-formed-digits-array-2/	Greedy		Easy
Minimum sum absolute difference pairs two arrays	https://www.geeksforgeeks.org/minimum-sum-absolute-difference-pairs-two-arrays/	Greedy		Easy
Find maximum height pyramid from the given array of objects	https://www.geeksforgeeks.org/find-maximum-height-pyramid-from-the-given-array-of-objects/	Greedy		Easy
Minimum cost for acquiring all coins with k extra coins allowed with every coin	https://www.geeksforgeeks.org/minimum-cost-for-acquiring-all-coins-with-k-extra-coins-allowed-with-every-coin/	Greedy		Easy
Find maximum equal sum of every three stacks	http://geeksforgeeks.org/find-maximum-sum-possible-equal-sum-three-stacks/	Greedy		Easy
Job sequencing problem	https://www.geeksforgeeks.org/job-sequencing-problem/	Greedy		Medium
Greedy algorithm egyptian fraction	https://www.geeksforgeeks.org/greedy-algorithm-egyptian-fraction/	Greedy		Medium
Fractional knapsack problem	https://www.geeksforgeeks.org/fractional-knapsack-problem/	Greedy		Medium
Maximum length chain of pairs	https://www.geeksforgeeks.org/maximum-length-chain-of-pairs-dp-20/	Greedy		Medium
Find smallest number with given number of digits and digit sum	https://www.geeksforgeeks.org/find-smallest-number-with-given-number-of-digits-and-digit-sum/	Greedy		Medium
Maximize sum of consecutive differences circular-array	https://www.geeksforgeeks.org/maximize-sum-consecutive-differences-circular-array/	Greedy		Medium
paper-cut minimum number squares	https://www.geeksforgeeks.org/paper-cut-minimum-number-squares/	Greedy		Medium
Lexicographically smallest array-k consecutive swaps	http://geeksforgeeks.org/lexicographically-smallest-array-k-consecutive-swaps/	Greedy		Medium
Problems-CHOCOLA	https://www.spoj.com/problems/CHOCOLA/	Greedy		Medium
Find minimum time to finish all jobs with given constraints	https://www.geeksforgeeks.org/find-minimum-time-to-finish-all-jobs-with-given-constraints/	Greedy		Hard
Job sequencing using disjoint set union	https://www.geeksforgeeks.org/job-sequencing-using-disjoint-set-union/	Greedy		Hard
Rearrange characters string such that no two adjacent are same	https://www.geeksforgeeks.org/rearrange-characters-string-no-two-adjacent/	Greedy		Hard
Minimum edges to reverse to make path from a source to a destination	https://www.geeksforgeeks.org/minimum-edges-reverse-make-path-source-destination/	Greedy		Hard
Minimize Cash Flow among a given set of friends who have borrowed money from each other	https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/	Greedy		Hard
Minimum Cost to cut a board into squares	https://www.geeksforgeeks.org/minimum-cost-cut-board-squares/	Greedy		Hard
Maximum Depth of Binary Tree	https://leetcode.com/problems/maximum-depth-of-binary-tree/	Binary Trees		Easy
Reverse Level Order Traversal	https://practice.geeksforgeeks.org/problems/reverse-level-order-traversal/1	Binary Trees		Easy
Subtree of Another Tree	https://leetcode.com/problems/subtree-of-another-tree/	Binary Trees		Easy
Invert Binary Tree	https://leetcode.com/problems/invert-binary-tree/	Binary Trees		Easy
Binary Tree Level Order Traversal	https://leetcode.com/problems/binary-tree-level-order-traversal/	Binary Trees		Easy
Left View of Binary Tree	https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1	Binary Trees		Easy
Right View of Binary Tree	https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1	Binary Trees		Easy
ZigZag Tree Traversal	https://practice.geeksforgeeks.org/problems/zigzag-tree-traversal/1	Binary Trees		Easy
Create a mirror tree from the given binary tree	https://www.geeksforgeeks.org/create-a-mirror-tree-from-the-given-binary-tree/	Binary Trees		Easy
Leaf at same level	https://practice.geeksforgeeks.org/problems/leaf-at-same-level/1	Binary Trees		Easy
Check for Balanced Tree	https://practice.geeksforgeeks.org/problems/check-for-balanced-tree/1	Binary Trees		Easy
Transform to Sum Tree	https://practice.geeksforgeeks.org/problems/transform-to-sum-tree/1	Binary Trees		Easy
Check if Tree is Isomorphic	https://practice.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1	Binary Trees		Easy
Same Tree	https://leetcode.com/problems/same-tree/	Binary Trees		Easy
Construct Binary Tree from Preorder and Inorder Traversal	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/	Binary Trees		Medium
Height of Binary Tree	https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1	Binary Trees		Medium
Diameter of a Binary Tree	https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1	Binary Trees		Medium
Top View of Binary Tree	https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1	Binary Trees		Medium
Bottom View of Binary Tree	https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1	Binary Trees		Medium
Diagonal Traversal of Binary Tree	https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/	Binary Trees		Medium
Boundary Traversal of binary tree	https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1	Binary Trees		Medium
Construct Binary Tree from String with Brackets	https://www.geeksforgeeks.org/construct-binary-tree-string-bracket-representation/	Binary Trees		Medium
Minimum swap required to convert binary tree to binary search tree	https://www.geeksforgeeks.org/minimum-swap-required-convert-binary-tree-binary-search-tree/	Binary Trees		Medium
Duplicate subtree in Binary Tree	https://practice.geeksforgeeks.org/problems/duplicate-subtree-in-binary-tree/1	Binary Trees		Medium
Check if a given graph is tree or not	https://www.geeksforgeeks.org/check-given-graph-tree/	Binary Trees		Medium
Lowest Common Ancestor in a Binary Tree	https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1	Binary Trees		Medium
Min distance between two given nodes of a Binary Tree	https://practice.geeksforgeeks.org/problems/min-distance-between-two-given-nodes-of-a-binary-tree/1	Binary Trees		Medium
Duplicate Subtrees	https://practice.geeksforgeeks.org/problems/duplicate-subtrees/1	Binary Trees		Medium
Kth ancestor of a node in binary tree	https://www.geeksforgeeks.org/kth-ancestor-node-binary-tree-set-2/	Binary Trees		Medium
Binary Tree Maximum Path Sum	https://leetcode.com/problems/binary-tree-maximum-path-sum/	Binary Trees		Hard
Serialize and Deserialize Binary Tree	https://leetcode.com/problems/serialize-and-deserialize-binary-tree/	Binary Trees		Hard
Binary Tree to DLL	https://practice.geeksforgeeks.org/problems/binary-tree-to-dll/1	Binary Trees		Hard
Print all k-sum paths in a binary tree	https://www.geeksforgeeks.org/print-k-sum-paths-binary-tree/	Binary Trees		Hard
Lowest Common Ancestor of a Binary Search Tree	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/	Binary Search Trees		Easy
Binary Search Tree | Set 1 (Search and Insertion)	https://www.geeksforgeeks.org/binary-search-tree-set-1-search-and-insertion/	Binary Search Trees		Easy
Minimum element in BST	https://practice.geeksforgeeks.org/problems/minimum-element-in-bst/1	Binary Search Trees		Easy
Predecessor and Successor	https://practice.geeksforgeeks.org/problems/predecessor-and-successor/1	Binary Search Trees		Easy
Check whether BST contains Dead End	https://practice.geeksforgeeks.org/problems/check-whether-bst-contains-dead-end/1	Binary Search Trees		Easy
Binary Tree to BST	https://practice.geeksforgeeks.org/problems/binary-tree-to-bst/1	Binary Search Trees		Easy
Kth largest element in BST	https://practice.geeksforgeeks.org/problems/kth-largest-element-in-bst/1	Binary Search Trees		Easy
Validate Binary Search Tree	https://leetcode.com/problems/validate-binary-search-tree/	Binary Search Trees		Medium
Kth Smallest Element in a BST	https://leetcode.com/problems/kth-smallest-element-in-a-bst/	Binary Search Trees		Medium
Delete Node in a BST	https://leetcode.com/problems/delete-node-in-a-bst/	Binary Search Trees		Medium
Flatten BST to sorted list	https://www.geeksforgeeks.org/flatten-bst-to-sorted-list-increasing-order/	Binary Search Trees		Medium
Preorder to Postorder	https://practice.geeksforgeeks.org/problems/preorder-to-postorder4423/1	Binary Search Trees		Medium
Count BST nodes that lie in a given range	https://practice.geeksforgeeks.org/problems/count-bst-nodes-that-lie-in-a-given-range/1	Binary Search Trees		Medium
Populate Inorder Successor for all Nodes	https://practice.geeksforgeeks.org/problems/populate-inorder-successor-for-all-nodes/1	Binary Search Trees		Medium
Convert Normal BST to Balanced BST	https://www.geeksforgeeks.org/convert-normal-bst-balanced-bst/	Binary Search Trees		Medium
Merge two BSTs	https://www.geeksforgeeks.org/merge-two-balanced-binary-search-trees/	Binary Search Trees		Medium
Given n appointments, find all conflicting appointments	https://www.geeksforgeeks.org/given-n-appointments-find-conflicting-appointments/	Binary Search Trees		Hard
Replace every element	https://www.geeksforgeeks.org/replace-every-element-with-the-least-greater-element-on-its-right/	Binary Search Trees		Hard
Construct BST from given preorder traversal	https://www.geeksforgeeks.org/construct-bst-from-given-preorder-traversa/	Binary Search Trees		Hard
Find median of BST in O(n) time and O(1) space	https://www.geeksforgeeks.org/find-median-bst-time-o1-space/	Binary Search Trees		Hard
Largest BST in a Binary Tree	https://www.geeksforgeeks.org/largest-bst-binary-tree-set-2/	Binary Search Trees		Hard
Choose k array elements such that difference of maximum and minimum is minimized	https://www.geeksforgeeks.org/k-numbers-difference-maximum-minimum-k-number-minimized/	Heaps & Hashing		Medium
Heap Sort	https://www.geeksforgeeks.org/heap-sort/	Heaps & Hashing		Medium
Top K Frequent Elements	https://leetcode.com/problems/top-k-frequent-elements/	Heaps & Hashing		Medium
k largest elements in an array	https://www.geeksforgeeks.org/k-largestor-smallest-elements-in-an-array/	Heaps & Hashing		Medium
Next Greater Element	https://www.geeksforgeeks.org/next-greater-element/	Heaps & Hashing		Medium
K’th Smallest/Largest Element in Unsorted Array	https://www.geeksforgeeks.org/kth-smallestlargest-element-unsorted-array/	Heaps & Hashing		Medium
Find the maximum repeating number in O(n) time and O(1) extra space	https://www.geeksforgeeks.org/find-the-maximum-repeating-number-in-ok-time/	Heaps & Hashing		Medium
K-th smallest element after removing some integers from natural numbers	https://www.geeksforgeeks.org/k-th-smallest-element-removing-integers-natural-numbers/	Heaps & Hashing		Medium
Find k closest elements to a given value	https://www.geeksforgeeks.org/find-k-closest-elements-given-value/	Heaps & Hashing		Medium
